"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","1960",0.700946,
"AUS","PPP","TOT","NATUSD","A","1961",0.701324,
"AUS","PPP","TOT","NATUSD","A","1962",0.68799,
"AUS","PPP","TOT","NATUSD","A","1963",0.698321,
"AUS","PPP","TOT","NATUSD","A","1964",0.708346,
"AUS","PPP","TOT","NATUSD","A","1965",0.705945,
"AUS","PPP","TOT","NATUSD","A","1966",0.70894,
"AUS","PPP","TOT","NATUSD","A","1967",0.711321,
"AUS","PPP","TOT","NATUSD","A","1968",0.70353,
"AUS","PPP","TOT","NATUSD","A","1969",0.70688,
"AUS","PPP","TOT","NATUSD","A","1970",0.686261,
"AUS","PPP","TOT","NATUSD","A","1971",0.694942,
"AUS","PPP","TOT","NATUSD","A","1972",0.714067,
"AUS","PPP","TOT","NATUSD","A","1973",0.765998,
"AUS","PPP","TOT","NATUSD","A","1974",0.82597,
"AUS","PPP","TOT","NATUSD","A","1975",0.861102,
"AUS","PPP","TOT","NATUSD","A","1976",0.923084,
"AUS","PPP","TOT","NATUSD","A","1977",0.953319,
"AUS","PPP","TOT","NATUSD","A","1978",0.963399,
"AUS","PPP","TOT","NATUSD","A","1979",0.976206,
"AUS","PPP","TOT","NATUSD","A","1980",0.983374,
"AUS","PPP","TOT","NATUSD","A","1981",0.986999,
"AUS","PPP","TOT","NATUSD","A","1982",1.041834,
"AUS","PPP","TOT","NATUSD","A","1983",1.088037,
"AUS","PPP","TOT","NATUSD","A","1984",1.111997,
"AUS","PPP","TOT","NATUSD","A","1985",1.139238,
"AUS","PPP","TOT","NATUSD","A","1986",1.192902,
"AUS","PPP","TOT","NATUSD","A","1987",1.243812,
"AUS","PPP","TOT","NATUSD","A","1988",1.301665,
"AUS","PPP","TOT","NATUSD","A","1989",1.350717,
"AUS","PPP","TOT","NATUSD","A","1990",1.365519,
"AUS","PPP","TOT","NATUSD","A","1991",1.348412,
"AUS","PPP","TOT","NATUSD","A","1992",1.32855,
"AUS","PPP","TOT","NATUSD","A","1993",1.312794,
"AUS","PPP","TOT","NATUSD","A","1994",1.301014,
"AUS","PPP","TOT","NATUSD","A","1995",1.310865,
"AUS","PPP","TOT","NATUSD","A","1996",1.312182,
"AUS","PPP","TOT","NATUSD","A","1997",1.308112,
"AUS","PPP","TOT","NATUSD","A","1998",1.3003,
"AUS","PPP","TOT","NATUSD","A","1999",1.29695,
"AUS","PPP","TOT","NATUSD","A","2000",1.311473,
